iter	Passed	Remaining
709	77415	31620
710	77529	31513
711	77646	31407
712	77758	31299
713	77879	31195
714	77978	31082
715	78086	30972
716	78190	30861
717	78307	30756
718	78434	30653
719	78556	30549
720	78666	30440
721	78766	30328
722	78883	30222
723	78979	30108
724	79091	30000
725	79188	29886
726	79302	29779
727	79401	29666
728	79511	29557
729	79611	29445
730	79716	29334
731	79827	29226
732	79939	29118
733	80043	29007
734	80155	28899
735	80260	28789
736	80368	28679
737	80464	28566
738	80574	28457
739	80670	28343
740	80775	28233
741	80891	28126
742	80997	28016
743	81112	27909
744	81226	27802
745	81342	27695
746	81450	27586
747	81560	27477
748	81673	27369
749	81783	27261
750	81908	27157
751	82024	27050
752	82136	26942
753	82247	26833
754	82349	26722
755	82462	26614
756	82571	26505
757	82682	26397
758	82791	26288
759	82890	26175
760	82991	26064
761	83100	25955
762	83210	25846
763	83324	25738
764	83434	25630
765	83541	25520
766	83656	25413
767	83762	25303
768	83870	25193
769	83964	25080
770	84068	24969
771	84182	24862
772	84295	24754
773	84396	24642
774	84512	24535
775	84627	24428
776	84739	24320
777	84849	24211
778	84954	24101
779	85063	23992
780	85172	23883
781	85284	23774
782	85395	23666
783	85510	23558
784	85618	23449
785	85732	23341
786	85827	23229
787	85937	23120
788	86049	23011
789	86142	22898
790	86258	22791
791	86357	22679
792	86457	22568
793	86556	22456
794	86666	22348
795	86777	22239
796	86885	22130
797	86996	22021
798	87109	21913
799	87221	21805
800	87332	21696
801	87438	21587
802	87544	21477
803	87652	21367
804	87765	21259
805	87871	21150
806	87971	21039
807	88086	20931
808	88197	20822
809	88295	20711
810	88425	20607
811	88696	20535
812	88796	20424
813	88948	20324
814	89114	20228
815	89298	20135
816	89453	20036
817	89713	19960
818	89829	19852
819	89929	19740
820	90025	19627
821	90141	19519
822	90239	19407
823	90352	19298
824	90458	19188
825	90560	19076
826	90674	18968
827	90786	18859
828	90902	18750
829	91012	18641
830	91124	18531
831	91237	18422
832	91352	18314
833	91466	18205
834	91583	18097
835	91678	17984
836	91794	17876
837	91903	17766
838	92017	17657
839	92115	17545
840	92223	17435
841	92349	17329
842	92457	17219
843	92569	17109
844	92669	16998
845	92782	16889
846	92880	16777
847	92992	16668
848	93098	16558
849	93206	16448
850	93318	16339
851	93411	16226
852	93519	16116
853	93632	16007
854	93739	15897
855	93843	15786
856	93956	15677
857	94068	15568
858	94179	15459
